n,mp,mp11
0,0.01929473876953125,0.1462885538736979
1,0.021099249521891277,0.14664093653361002
2,0.022229989369710285,0.14728927612304688
3,0.02359310785929362,0.14934984842936197
4,0.024981260299682617,0.14851943651835123
5,0.02632729212443034,0.1487445036570231
6,0.028475443522135418,0.1514275074005127
7,0.029985904693603516,0.15331673622131348
8,0.03108827273050944,0.15477498372395834
9,0.03398871421813965,0.1533215045928955
10,0.0346823533376058,0.15707739194234213
11,0.03721777598063151,0.15808208783467612
12,0.04007784525553385,0.163772980372111
13,0.041503349939982094,0.1688061555226644
14,0.043790578842163086,0.1610275904337565
15,0.04647994041442871,0.16202720006306967
16,0.04949577649434408,0.16396307945251465
17,0.052130540211995445,0.17329883575439453
18,0.055426597595214844,0.16858522097269693
19,0.057772318522135414,0.16757822036743164
20,0.060818115870157875,0.16816107432047525
21,0.06468884150187175,0.17089255650838217
22,0.06831645965576172,0.17280952135721842
23,0.0715652306874593,0.17453432083129883
24,0.0751640796661377,0.17428151766459146
25,0.07858618100484212,0.17889618873596191
26,0.08227920532226562,0.18103909492492676
27,0.0861968199412028,0.18174330393473306
28,0.09001557032267253,0.18355711301167807
29,0.09445452690124512,0.18913706143697104
30,0.09909145037333171,0.18729130427042642
31,0.10438863436381023,0.19036547342936197
32,0.10763669013977051,0.19643656412760416
33,0.11384145418802898,0.1992009480794271
34,0.11753447850545247,0.200834592183431
35,0.12234044075012207,0.20306928952534994
36,0.12758882840474448,0.20588254928588867
37,0.132965087890625,0.20598173141479492
38,0.13815037409464517,0.2086633046468099
39,0.14257351557413736,0.21042370796203613
40,0.14907010396321616,0.2162602742513021
41,0.15466960271199545,0.2196180820465088
42,0.16135072708129883,0.22776571909586588
43,0.16813993453979492,0.2282240390777588
44,0.17336153984069824,0.22844632466634116
45,0.17882593472798666,0.23296387990315756
46,0.18352603912353516,0.2368760903676351
47,0.1907659371693929,0.23938433329264322
48,0.1963365077972412,0.24551979700724283
49,0.20294586817423502,0.24765261014302573
50,0.21057868003845215,0.24809789657592773
51,0.2177282969156901,0.2563153902689616
52,0.22388307253519693,0.25913000106811523
53,0.23112972577412924,0.2614278793334961
54,0.2386749585469564,0.26274633407592773
55,0.24697407086690268,0.26568063100179035
56,0.2526260217030843,0.2696327368418376
57,0.25896310806274414,0.27467886606852215
58,0.2691644827524821,0.27974804242451984
59,0.2761264642079671,0.28313453992207843
60,0.2841819127400716,0.2939772605895996
61,0.29238057136535645,0.3014099597930908
62,0.3039517402648926,0.3083837827046712
63,0.31072179476420086,0.3056479295094808
64,0.31957507133483887,0.304627259572347
65,0.3262125651041667,0.31321994463602704
66,0.3354584376017253,0.3172711531321208
67,0.3457593123118083,0.32044212023417157
68,0.3527037302652995,0.3301838239034017
69,0.36222656567891437,0.34058348337809247
70,0.3707379500071208,0.3440897464752197
71,0.37899986902872723,0.34338537851969403
72,0.3915274143218994,0.3453539212544759
73,0.40059391657511395,0.3586125373840332
74,0.4106411139170329,0.36975685755411786
75,0.4229448636372884,0.36142341295878094
76,0.42948325475056964,0.3677014509836833
77,0.44200706481933594,0.3747404416402181
78,0.45082545280456543,0.3898181915283203
79,0.4579644203186035,0.395940621693929
80,0.4696187973022461,0.39410074551900226
81,0.4836004575093587,0.3991287549336751
82,0.49426770210266113,0.40876126289367676
83,0.5066097577412924,0.4171835581461589
84,0.5194027423858643,0.42174410820007324
85,0.5259243647257487,0.428136666615804
86,0.5385380585988363,0.43654751777648926
87,0.5458409786224365,0.4430239200592041
88,0.5585962931315104,0.4458789825439453
89,0.5717852115631104,0.4518330891927083
90,0.5871593952178955,0.46144477526346844
91,0.5983904997507731,0.47116875648498535
92,0.608309268951416,0.4773905277252197
93,0.6212053298950195,0.4882839520772298
94,0.6430443127950033,0.4892667929331462
95,0.6463390986124674,0.5069622993469238
96,0.6592989762624105,0.5192287762959799
97,0.668398380279541,0.5278394222259521
98,0.6845972537994385,0.531409502029419
99,0.71047576268514,0.5310067335764567
