n,mp,p2996,mp11
0,0.019426425298055012,0.8439971605936686,0.14731550216674805
10,0.023503859837849934,0.8607889811197916,0.15008131663004556
20,0.02780596415201823,0.881314754486084,0.1534902254740397
30,0.03337883949279785,0.9030968348185221,0.15784001350402832
40,0.040450652440389,0.9473365942637125,0.16286126772562662
50,0.048815250396728516,0.9810486634572347,0.16900134086608887
60,0.05818716684977213,1.025449514389038,0.17484203974405924
70,0.07060925165812175,1.1098990440368652,0.18179424603780112
80,0.08307377497355144,1.1685324509938557,0.18970012664794922
90,0.09694774945576985,1.2342945734659831,0.19855864842732748
