n,mp,p2996,mp11
0,0.01902308464050293,0.9046260356903076,0.14729275703430175
10,0.03378219604492187,0.9771527290344239,0.15166149139404297
20,0.0547879695892334,0.9904511451721192,0.1583629608154297
30,0.08194236755371094,1.0095998287200927,0.16747584342956542
40,0.11665120124816894,1.0320585250854493,0.18079228401184083
50,0.15860385894775392,1.0666718482971191,0.19586949348449706
60,0.20627269744873047,1.0954801559448242,0.21184186935424804
70,0.2648824691772461,1.1320428848266602,0.23179316520690918
80,0.32785210609436033,1.1746320724487305,0.25306110382080077
90,0.39948673248291017,1.2232563972473145,0.27860684394836427
100,0.47576613426208497,1.2733734130859375,0.30606961250305176
