n,mp,mp11
0,0.019538720448811848,0.14736231168111166
1,0.02111641565958659,0.14792315165201822
2,0.021613438924153645,0.14801247914632162
3,0.02311420440673828,0.14928086598714194
4,0.024386246999104817,0.14954137802124023
5,0.02562061945597331,0.15025202433268228
6,0.027329206466674805,0.15094590187072754
7,0.02830656369527181,0.1519638697306315
8,0.03046139081319173,0.15231792132059732
9,0.03221750259399414,0.1552739143371582
10,0.03408583005269369,0.15406020482381186
11,0.035964568456014,0.1554088592529297
12,0.038053035736083984,0.15668384234110513
13,0.04033819834391276,0.15790359179178873
14,0.042877197265625,0.1595290501912435
15,0.04509504636128744,0.1604444980621338
16,0.048252264658610024,0.16172504425048828
17,0.050192038218180336,0.16384482383728027
18,0.05297398567199707,0.16440391540527344
19,0.05608638127644857,0.166033665339152
20,0.05906820297241211,0.1685478687286377
21,0.06267031033833821,0.16921154657999674
22,0.06572715441385905,0.17115020751953125
23,0.06955401102701823,0.17305652300516763
24,0.07259647051493327,0.17534486452738443
25,0.07640480995178223,0.17661253611246744
26,0.07988142967224121,0.17910194396972656
27,0.08423566818237305,0.18120646476745605
28,0.0877853234608968,0.18294453620910645
29,0.09165843327840169,0.1845993995666504
30,0.09582956631978352,0.18707760175069174
31,0.10006181399027507,0.18911194801330566
32,0.10526331265767415,0.19122854868570963
33,0.1087503433227539,0.1944715976715088
34,0.11371731758117676,0.1964398225148519
35,0.11848513285319011,0.199021577835083
36,0.12395501136779785,0.20145893096923828
37,0.12860560417175293,0.20341086387634277
38,0.13434473673502603,0.2072776953379313
39,0.1388993263244629,0.20911208788553873
40,0.14412283897399902,0.2115170160929362
41,0.14963444073994955,0.21488213539123535
42,0.15622901916503906,0.21798348426818848
43,0.16153939565022787,0.2206291357676188
44,0.16770299275716147,0.22420883178710938
45,0.17229954401652017,0.2280592918395996
46,0.18053174018859863,0.23088320096333823
47,0.18503840764363608,0.23522535959879556
48,0.19168583552042642,0.23962903022766113
49,0.1973883310953776,0.2431954542795817
50,0.20403440793355307,0.24659244219462076
51,0.21117512385050455,0.24953206380208334
52,0.21705023447672525,0.2541455427805583
53,0.2254951000213623,0.256719430287679
54,0.23158534367879233,0.2605019410451253
55,0.24043663342793783,0.264543612798055
56,0.24730372428894043,0.26830029487609863
57,0.2539057731628418,0.27192163467407227
58,0.2610836823781331,0.27717796961466473
59,0.26850660641988117,0.2811550299326579
60,0.27872689565022785,0.2855418523152669
61,0.2855204741160075,0.28948060671488446
62,0.2947526772816976,0.29402995109558105
63,0.3036332130432129,0.2981894016265869
64,0.3113744258880615,0.3071777820587158
65,0.31961290041605633,0.3098556200663249
66,0.32973440488179523,0.31470076243082684
67,0.33643356959025067,0.3187611897786458
68,0.3454025586446126,0.3224037488301595
69,0.3533693154652913,0.3279085159301758
70,0.3627760410308838,0.3329705397288005
71,0.3707081476847331,0.3389703432718913
72,0.3847647507985433,0.3443473180135091
73,0.39093732833862305,0.35088586807250977
74,0.400374968846639,0.3560929298400879
75,0.4093782901763916,0.36203575134277344
76,0.4200395743052165,0.368502140045166
77,0.43176595369974774,0.3723897139231364
78,0.4384313424428304,0.3769209384918213
79,0.4490195910135905,0.38579122225443524
80,0.4605064392089844,0.3895230293273926
81,0.47573550542195636,0.3980263868967692
82,0.4806058406829834,0.4038790861765544
83,0.4943174521128337,0.4107054869333903
84,0.5022074381510416,0.4135880470275879
85,0.513970136642456,0.4223984082539876
86,0.5232067108154297,0.4326764742533366
87,0.5345211823781332,0.44292624791463214
88,0.5446968078613281,0.4490041732788086
89,0.5606293678283691,0.4517533779144287
90,0.5749487082163492,0.455746332804362
91,0.5896226565043131,0.46764055887858075
92,0.5966391563415527,0.47391287485758465
93,0.6069955825805664,0.4858124256134033
94,0.6196767489115397,0.4885863463083903
95,0.6291816234588623,0.4975139300028483
96,0.644737164179484,0.5019752979278564
97,0.6575857003529867,0.5048356056213379
98,0.6699628829956055,0.5135039488474528
99,0.6801939805348715,0.519202470779419
