n,mp,mp11
0,0.0004102230072021498,0
10,0.003577995300292968,0.0006669998168945257
20,0.007997369766235354,0.0019371986389160323
30,0.013347578048706055,0.004235744476318359
40,0.019615888595581055,0.007396697998046875
50,0.028590965270996093,0.011231660842895508
60,0.03817286491394043,0.01592082977294923
70,0.04872951507568359,0.02217044830322265
80,0.06181192398071289,0.028176116943359364
90,0.07651343345642089,0.03470077514648437
100,0.09188961982727051,0.043714284896850586
