n,mp,mp11
0,0.023930946985880535,0.14334535598754883
10,0.035909573237101235,0.1501286824544271
20,0.05960663159688314,0.16061878204345703
30,0.09395607312520345,0.17930825551350912
40,0.1406391461690267,0.2013691266377767
50,0.19764463106791177,0.23469948768615723
60,0.2643849849700928,0.27039527893066406
70,0.3475341002146403,0.31507253646850586
80,0.4386318524678548,0.36034679412841797
90,0.5460240046183268,0.4204498926798503
100,0.6593099435170492,0.4928462505340576
