n,mp,mp11
0,0,0.0008587837219238281
10,0.01079074541727702,0.0016458829243977957
20,0.02650125821431478,0.00572967529296875
30,0.048789262771606445,0.01229675610860187
40,0.07828966776529948,0.02512526512145996
50,0.11460995674133301,0.04226318995157877
60,0.1566894849141439,0.06231331825256348
70,0.20514663060506183,0.08927297592163086
80,0.2628761927286784,0.12115581830342609
90,0.3266123135884603,0.1566332976023356
100,0.39589969317118323,0.19756587346394858
