n,mp11
0,3.7670135498046875e-05
10,0.00011248588562011441
20,0.001898384094238273
30,0.004149246215820315
40,0.004885721206665028
50,0.006495904922485363
60,0.00901031494140625
70,0.011648464202880862
80,0.014006948471069341
90,0.01664609909057617
100,0.02040467262268067
