n,mp11
0,0
10,0.0026589870452880804
20,0.007143115997314445
30,0.0142786979675293
40,0.024046468734741214
50,0.0359734058380127
60,0.050133180618286144
70,0.0679938793182373
80,0.0903578758239746
90,0.11330032348632812
100,0.13931035995483398
