n,mp11
0,0
10,0.001948451995849615
20,0.0075223445892333984
30,0.015601634979248047
40,0.024832153320312494
50,0.03637156486511231
60,0.05080785751342774
70,0.06960134506225585
80,0.09094982147216796
90,0.11451215744018553
100,0.14096059799194335
