n,circle,mp11
0,0.023116588592529297,0.08778500556945801
10,0.023771286010742188,0.08796834945678711
20,0.024564743041992188,0.09025430679321289
30,0.025237083435058594,0.09327507019042969
40,0.026325702667236328,0.09851312637329102
50,0.02763080596923828,0.1040341854095459
60,0.029401779174804688,0.11191940307617188
70,0.03152203559875488,0.1229093074798584
80,0.033429861068725586,0.1348259449005127
90,0.037363290786743164,0.15036797523498535
100,0.03929615020751953,0.16775941848754883
