n,mp11
0,0.0874781608581543
10,0.08934187889099121
20,0.0920720100402832
30,0.09602165222167969
40,0.10049962997436523
50,0.10525369644165039
60,0.11143827438354492
70,0.12059378623962402
80,0.1318492889404297
90,0.13737940788269043
100,0.1514739990234375
