n,circle,mp11
0,0.023865509033203124,0.08863906860351563
10,0.023920536041259766,0.09052448272705078
20,0.02452507019042969,0.09326357841491699
30,0.025791215896606445,0.09738779067993164
40,0.026715660095214845,0.10250511169433593
50,0.02797689437866211,0.1070551872253418
60,0.030002641677856445,0.11410222053527833
70,0.03193340301513672,0.12213253974914551
80,0.03427481651306152,0.13019113540649413
90,0.03649053573608398,0.14003796577453614
100,0.03956336975097656,0.15085306167602539
