n,circle,mp11
0,0,0
10,0.0006678899129231794,0.00083700815836589
20,0.0009860992431640625,0.004591941833496094
30,0.001438140869140625,0.008310397466023772
40,0.002943833669026695,0.013420581817626953
50,0.004396041234334309,0.018062988917032882
60,0.006272395451863609,0.025043805440266936
70,0.007798751195271809,0.03337979316711426
80,0.010276556015014645,0.04087042808532716
90,0.013255198796590168,0.05174605051676433
100,0.015847126642862957,0.06203881899515788
