n,circle,mp11
0,0.00022501945495605538,0
10,0.0004856109619140632,0
20,0.0005941867828369134,0.0009222030639648438
30,0.0017170429229736335,0.0006757736206054743
40,0.002631139755249024,0.0014071464538574219
50,0.004040336608886717,0.00329632759094238
60,0.005492067337036131,0.004448652267456055
70,0.007863664627075193,0.007556962966918948
80,0.009731197357177732,0.008716106414794922
90,0.012244081497192381,0.010951852798461906
100,0.014266538619995113,0.015280151367187494
