n,mp11
0,0.0886075496673584
10,0.08916020393371582
20,0.0902566909790039
30,0.09258675575256348
40,0.09370183944702148
50,0.09543061256408691
60,0.09758448600769043
70,0.1007227897644043
80,0.10271310806274414
90,0.10545659065246582
100,0.10895848274230957
