n,mp11
0,0.08872461318969727
10,0.08864092826843262
20,0.08889436721801758
30,0.09026145935058594
40,0.09087467193603516
50,0.09208512306213379
60,0.0946500301361084
70,0.09617137908935547
80,0.09832119941711426
90,0.10086417198181152
100,0.10309314727783203
