n,mp11
0,0
10,0.0010195255279541043
20,0.0037166118621826255
30,0.007979154586791992
40,0.012715148925781253
50,0.01770291328430175
60,0.024303865432739255
70,0.03394107818603516
80,0.04112281799316406
90,0.05032906532287597
100,0.06169862747192384
