n,mp11
0,0.08923888206481934
10,0.09111380577087402
20,0.0962517261505127
30,0.10401272773742676
40,0.11329174041748047
50,0.1257641315460205
60,0.14016151428222656
70,0.1573331356048584
80,0.18027997016906738
90,0.20325684547424316
100,0.2296462059020996
