n,mp,mp11
0,0.00014057159423828264,2.708435058593195e-05
10,0.006657171249389648,0.0031198501586914007
20,0.015935373306274418,0.007669878005981429
30,0.027674293518066405,0.012970352172851557
40,0.04274692535400391,0.018920087814331063
50,0.06048460006713867,0.027341365814208984
60,0.08132109642028808,0.03595314025878907
70,0.10720491409301758,0.04725923538208007
80,0.13592891693115236,0.05917296409606933
90,0.16765413284301758,0.06997919082641602
100,0.20231413841247559,0.08174104690551756
